"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
2546671,"Apo-Lisdexamfetamine Capsules","APX","Cap","40mg","2025-03-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546698,"Apo-Lisdexamfetamine Capsules","APX","Cap","50mg","2025-03-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546701,"Apo-Lisdexamfetamine Capsules","APX","Cap","60mg","2025-03-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2546728,"Apo-Lisdexamfetamine Capsules","APX","Cap","70mg","2024-08-30","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2549794,"PMS-Morphine Sulfate","PMS","Tab","5mg","2024-09-27","","Morphine Sulfate","","",NA
2549808,"PMS-Morphine Sulfate","PMS","Tab","10mg","2024-09-27","","Morphine Sulfate","","",NA
2554615,"Apo-Butalbital-Acetylsalicylic Acid-Caffeine-Codeine-C 1/4","APX","Cap","50mg & 330mg & 40mg & 15mg","2025-03-31","","Butalbital + ASA+ Caffeine+codeine","Opioid- long term pain relief for moderate to severe pain","",NA
2554623,"Apo-Butalbital-Acetylsalicylic Acid-Caffeine-Codeine-C 1/2","APX","Cap","50mg & 330mg & 40mg & 30mg","2025-03-31","","Butalbital + ASA+ Caffeine+codeine","Opioid- long term pain relief for moderate to severe pain","",NA
9850619,"Methadone","XXX","O/L","","2012-04-16","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
9851348,"Dilaudid in Normal Saline","ABB","O/L 500mL","50mg/mL","2012-04-16","","Hydromorphone hydrochloride","Opioid- long term pain relief for moderate to severe pain","Not for perscriptions in opioid-naïve patients",NA
9853340,"Diastat","VAL","Rect Gel-2x10mg Pk","5mg/mL","2012-06-01","","Diazepam","BZD- management of selected, refractory, patients with epilepsy, stable regimens of AED","To be administered by caregivers",NA
9853430,"Diastat","VAL","Rect Gel-2x15mg Pk","5mg/mL","2012-06-01","","Diazepam","BZD- management of selected, refractory, patients with epilepsy, stable regimens of AED","To be administered by caregivers",NA
9853472,"DILAUDID-XP INFU-PAC","KNO","Inj 2X50mL Pk","50mg/mL","2012-04-16","","","","",NA
9857217,"Metadol","PMS","Tab","1mg","2012-04-16","","Methadone Hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
9857218,"Metadol","PMS","Tab","5mg","2012-04-16","","Methadone Hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
9857219,"Metadol","PMS","Tab","10mg","2012-04-16","","Methadone Hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
9857220,"Metadol","PMS","Tab","25mg","2012-04-16","","Methadone Hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
9857221,"Metadol","PMS","O/L","1mg/mL","2012-04-16","","Methadone Hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
9857223,"Metadol","PMS","O/L","10mg/mL","2012-04-16","","Methadone Hydrochloride","Opioid- long term pain relief for moderate to severe pain","",NA
9857226,"Sandoz Morphine","SDZ","Inj Sol Amp","2mg/mL","2012-04-16","","Morphine sulfate","Opioid- long term pain relief for moderate to severe pain","",NA
9857227,"Sandoz Morphine","SDZ","Inj Sol Amp","10mg/mL","2012-04-16","","Morphine sulfate","Opioid- long term pain relief for moderate to severe pain","",NA
9857232,"Supeudol","SDZ","Tab","5mg","2012-04-16","","Oxycodone hydrochloride","Opioid- long term pain relief (high overodse risk)","",NA
9857233,"Supeudol","SDZ","Tab","10mg","2012-04-16","","Oxycodone hydrochloride","Opioid- long term pain relief (high overodse risk)","",NA
9857234,"Supeudol","SDZ","Tab","20mg","2012-04-16","","Oxycodone hydrochloride","Opioid- long term pain relief (high overodse risk)","",NA
9857241,"Oxy.IR","PFP","Tab","10mg","2012-04-16","","Oxycodone hydrochloride","Opioid- mild to severe pain, fever, and inflammation","",NA
9857242,"Oxy.IR","PFP","Tab","20mg","2012-04-16","","Oxycodone hydrochloride","Opioid- mild to severe pain, fever, and inflammation","",NA
9857243,"Oxy.IR","PFP","Tab","5mg","2012-04-16","","Oxycodone hydrochloride","Opioid- mild to severe pain, fever, and inflammation","",NA
9857318,"PMS-Oxycodone","PMS","Tab","5mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857319,"PMS-Oxycodone","PMS","Tab","10mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857321,"PMS-Oxycodone","PMS","Tab","20mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857408,"OxyNEO","PFP","CR Tab","10mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857409,"OxyNEO","PFP","CR Tab","15mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857410,"OxyNEO","PFP","CR Tab","20mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857411,"OxyNEO","PFP","CR Tab","30mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857412,"OxyNEO","PFP","CR Tab","40mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
